id,keep,title
498,t,A District Runs Through It Lower Clear Creek Case Study 2005
499,t,American River Basin Integrated Regional Water Management Plan Report
500,t,Anadromous Fishes of California Report
501,t,Anadromous Fish Restoration Program Adaptive Management Forum Final Report 2004
504,t,Backbone Ridge Defensible Fuel Profile Zone
505,t,Battle Creek Salmon and Steelhead Restoration Mapping
831,t,Anacapa GIS Website
837,f,AMBAG Region Transportation Analysis Zones
864,t,City Limits
864,t,City Limits
867,t,FEMA Flood Zones
880,t,Department of Boating and Waterways WWW Homepage
991,t,"Bolsa Chica:  A Beach, An Ocean, A Future"
1036,t,Saving The Bolsa Chica Wetlands
1062,f,CENIC Nodes under 1000 Meters frmo Primary Care Clinics
1063,f,Connecting Healthcare Facilities via Broadband
1064,f,California General Acute Care Hospitals
1065,f,California Hospitals and Clinics
1066,f,landmarks_new
1067,f,Linear Miles of Transportation Rights-of-Way by Census Tract
1068,f,California Primary Care Clinics
1069,f,California Primary Care Clinics and State Highways
1070,f,Public Buildings by Census Tract
1071,f,State Owned Land by Census Tract
1072,f,University of California Healthcare Facilities and Teaching Hospitals
1193,t,Water Resources
1200,f,10-year Accident data for the Bishop Area
1201,f,10-year Accident data for the Independence Area
1202,f,California City 2000 General Plan - Kern County
1240,f,Forecast for the Central Valley to 2010
1241,f,July 1 Population Estimates and Components of Change by County
1242,t,BBiomarkers of Exposure and Deleterious Effect: A Laboratory and Field Investigation
1243,t,Biomarkers of Ozone Damage to Sierra Nevada Vegetation
1244,t,Bird and Mammal Reproduction in a Terrestrial Aquatic Interface
1245,t,Chemistry of Bioavailability in Sediments and Water Column
1246,t,Cumulative and Integrative Biochemical Indicators
1249,t,Endocrine Disruption in Fish and Birds
1250,t,Fish Developmental Toxicity/Recruitment
1251,t,Identification and distribution of pest complexes in relation to late seral/old growth forest structure in the Lake Tahoe watershed
1252,t,Immunoassays and Serum Markers
1253,t,Mercury and Iron Biogeochemistry
1254,t,Microbiology of Mercury Methylation in Sediments
1255,t,Modeling Ecosystems Under Combined Stress
1256,t,Modeling Transport in Aquatic Systems
1257,t,"Molecular, Cellular and Animal Biomarkers of Exposure and Effect"
1258,t,Pesticide Transport in Subsurface and Surface Water Systems
1259,t,Pre-contact Forest Structure
1260,t,Regional Hydrogeology and Contaminant Transport in a Sierra Nevada Ecosystem
1261,t,Regional Hydrologic Modeling With Emphasis on Watershed-Scale Environmental Stresses
1262,t,Regional Movement of Toxics
1264,t,Resolving Multiple Stressors by Biochemical Indicator Patterns and their Linkages to Adverse Effects on Benthic Invertebrate Patterns
1265,t,Role of Hydrogeologic Processes in Alpine Ecosystem Health
1267,t,Spatial and Temporal Trends in Water Quality
1268,t,Spatial Patterns and Biodiversity
1269,t,Stress of Increased Sediment Loading on Lake and Stream Function
1270,t,Subalpine Marsh Plant Communities as Early Indicators of Ecosystem Stress
1271,t,The History of Anthropogenic Effects
1272,t,The Role of Fishes as Transporters of Mercury
1273,t,Time Series Analysis and Modeling Ecological Risk
1274,t,Water Motions and Material Transport
1275,t,Wetlands Restoration
1277,t,WWW/Outreach
1289,t,FEMA Flood Zones
1292,t,Hardwoods
1340,f,AdministrativeAreas
1342,f,CenterLine
1348,t,CriticalFacilities
1349,t,Definition of Channel Islands Region
1350,t,Parcels
1351,f,RailRoad
1352,f,SiteAddress
1353,f,Zoning
1428,t,"Aerial Photographs of Elkhorn Slough & Vicinity, 1994"
1428,t,"Aerial Photographs of Elkhorn Slough & Vicinity, 1994"
1429,t,Bay Protection and Toxic Cleanup Program (BPTCP) Sampling Data - Central Coast
1430,t,Coastal Development Permits - Elkhorn Slough Area
1431,t,"Coastal Zone Boundary - Central Coast, 1:24k"
1432,t,"Coastal Zone Boundary - Central Coast, 1:500k"
1433,t,County Boundaries -- All of California
1434,t,County Boundaries -- Central Coast
1435,t,"Comprehensive Environmental Response, Compensation, and Liability Act (CERCLA) Sites - Central Coast"
1436,t,"Contours - Central Coast, from USGS 7.5-minute DEMs (30m grid)"
1437,t,Dam Locations - Central Coast
1438,t,Digital Orthophoto Quads (DOQs) - Northern Monterey County
1439,t,Digital Orthophoto Quads (DOQs) - Northern Santa Cruz County
1440,t,Elkhorn Slough Habitats
1441,t,"Fish Consumption Advisories, 1994 - Central Coast"
1442,t,Groundwater Basins - Central Coast
1443,t,Hardwoods - Central Coast
1444,f,"Highways, Major State and Interstate"
1445,t,Industrial Facilities Discharge Sites - Central Coast
1446,t,Land Cover 1990/93 - Central Coast
1447,t,Land Cover 1990 by UCSB Gap Analysis Project - Central Western California bioregion
1448,t,"Land Use, 1989-91 - North Monterey County and Salinas Valley"
1449,t,Land Use/Land Cover - 1:100k USGS LULC - Central Coast
1450,t,Land Use/Land Cover - 1:250k USGS LULC - Central Coast
1451,t,Mines - Central Coast
1452,t,Mussel Watch Sampling Data - Central Coast
1453,t,National Sediment Inventory - Central Coast
1454,t,National Wetlands Inventory - Central Coast Quads
1455,t,NPDES Permit Data from Monterey Bay National Marine Sanctuary - Central Coast
1456,t,NPDES Permit Data from Region 9 Permit Compliance System (PCS) - Central Coast
1457,t,NPDES Permit Data from US EPA BASINS v.1.0 CD - Central Coast
1458,t,Parcels - North Monterey County & Salinas Valley
1459,t,Pesticide Use - Central Coast
1460,t,Place Names - Central Coast
1461,t,"Precipitation, Average Annual -- California"
1462,t,"Precipitation, Average Annual -- Central Coast"
1463,t,Precipitation - Central Coast
1464,t,Public Water Supply Sites - Central Coast
1465,t,"Quad Boundaries 1:100,000 - California"
1466,t,"Quad Boundaries 1:24,000 - California"
1467,t,"Quad Boundaries 1:24,000 - WATER project area"
1468,t,"Quad Boundaries 1:250,000 - California"
1469,t,Resource Conservation and Recovery Act (RCRA) Sites - Central Coast
1470,t,Satellite Image - Central Coast
1471,t,"Shaded Relief Image - Central Coast, from 100m DEM"
1472,t,"Shaded Relief Images - Central Coast, from USGS 7.5-minute DEMs (30m grid)"
1473,t,Shoreline of the Central Coast
1474,t,"Slopes - Central Coast, from USGS 7.5-minute DEMs (30m grid)"
1475,t,"Soils (SSURGO, 1:24,000 scale) - Monterey County"
1476,t,"Soils (SSURGO, 1:24,000 scale) - Santa Cruz County"
1477,t,Stream Flow - Central Coast USGS Stream Guage Stations and Flow Data 1901-1993
1478,t,Stream Guage Stations - Central Coast
1479,t,Streams - Reach File Version 1 - Central Coast
1480,t,Streams & Shorelines - 1:100k USGS DLG - Central Coast
1481,t,Superfund National Priority List Sites - Central Coast
1482,t,"Toxic Release Inventory Sites, 1992 - Central Coast"
1483,t,"US Census TIGER files, 1994 - Central Coast"
1484,t,Vegetation - CalVeg - Central Coast
1485,t,Water Quality Sampling Data - Elkhorn Slough NERR
1486,t,Water Quality Sampling Data (STORET) - Central Coast
1487,t,Watersheds (Hydrologic Basins) - CalWater - Central Coast
1488,t,Weather Station Sites - Central Coast
1489,t,Coastal Conservancy Publication List
1491,t,Project Location Maps
1744,t,Colusa Basin Watershed Assessment
1745,t,Colusa Basin Watershed Streambank Analysis
1758,t,Dealer
1759,t,Processor
1760,t,Recycling Center
1761,t,Residential Curbside Recycling Programs
1762,t,Rural Region
1763,t,Supermarket
1822,t,Alameda County Important Farmland
1823,t,Amador County Important Farmland
1824,t,Butte County Important Farmland
1825,t,Colusa County Important Farmland
1826,t,Contra Costa County Important Farmland
1827,t,El Dorado County Important Farmland
1828,t,Fresno County Important Farmland
1829,t,Glenn County Important Farmland
1830,t,Imperial County Important Farmland
1831,t,Kern County Important Farmland
1832,t,Kings County Important Farmland
1833,t,Lake County Important Farmland
1834,t,Los Angeles County Important Farmland
1835,t,Madera County Important Farmland
1836,t,Marin County Important Farmland
1837,t,Mariposa County Important Farmland
1838,t,Mendocino County Important Farmland
1839,t,Merced County Important Farmland
1840,t,Modoc County Important Farmland
1841,t,Monterey County Important Farmland
1842,t,Napa County Important Farmland
1843,t,Nevada County Important Farmland
1844,t,Orange County Important Farmland
1845,t,Placer County Important Farmland
1846,t,Riverside County Important Farmland
1847,t,Sacramento County Important Farmland
1848,t,San Benito County Important Farmland
1849,t,San Bernardino County Important Farmland
1850,t,San Diego County Important Farmland
1851,t,San Joaquin County Important Farmland
1852,t,San Luis Obispo County Important Farmland
1853,t,San Mateo County Important Farmland
1854,t,Santa Barbara County Important Farmland
1855,t,Santa Clara County Important Farmland
1856,t,Santa Cruz County Important Farmland
1857,t,Shasta County Important Farmland
1858,t,Sierra Valley Important Farmland
1859,t,Siskiyou County Important Farmland
1860,t,Solano County Important Farmland
1861,t,Sonoma County Important Farmland
1862,t,Stanislaus County Important Farmland
